#_
#_
1989 #_styr
2021 #_endyr
2 #_nseas
6 6 #_months/season
2 # number of subseasons
7 #_spawning month
2 #_Nsexes
15 #_Nages
2 ##_N_areas
15 #_Nfleet #31 ##_Nsurveys
# Fleets
#type	timing	area	units	multiplier	name	num
2005	10	4	35.6	0.38
2006	10	4	4.97	0.61
2007	10	4	18.11	0.58
2008	10	4	19.48	0.34
2009	10	4	19.08	0.31
2010	10	4	29.55	0.28
2011	10	4	60.07	0.29
2012	10	4	10.24	0.41
2013	10	4	34.23	0.49
2014	10	4	29.94	0.39
2015	10	4	8.17	0.26
2016	10	4	15.87	0.24
2017	10	4	19.24	0.2
2018	10	4	27.49	0.25
2019	10	4	76.13	0.33
2020	10	4	138.65	0.26
2021	10	4	17.08	0.26
###############################################
##  Recreational Discard Data
###############################################
1989	4	5	46	0.355
1990	4	5	14	0.459
1991	4	5	51	0.398
1992	4	5	6	0.411
1993	4	5	5	0.518
1994	4	5	3	0.54
1995	4	5	38	0.424
1996	4	5	35	0.588
1997	4	5	70	0.589
1998	4	5	19	0.38
1999	4	5	81	0.443
2000	4	5	471	0.385
2001	4	5	217	0.343
2002	4	5	358	0.359
2003	4	5	335	0.347
2004	4	5	106	0.297
2005	4	5	127	0.512
2006	4	5	224	0.555
2007	4	5	286	0.341
2008	4	5	523	0.372
2009	4	5	936	0.357
2010	4	5	933	0.437
2011	4	5	904	0.234
2012	4	5	1634	0.256
2013	4	5	1445	0.367
2014	4	5	2246	0.323
2015	4	5	1940	0.188
2016	4	5	2069	0.222
2017	4	5	1723	0.235
2018	4	5	2611	0.19
2019	4	5	2998	0.198
2020	4	5	1513	0.143
2021	4	5	3766	0.174
1989	10	7	328	0.171
1990	10	7	128	0.302
1991	10	7	400	0.188
1992	10	7	164	0.185
1993	10	7	84	0.371
1994	10	7	705	0.35
1995	10	7	663	0.303
1996	10	7	741	0.274
1997	10	7	941	0.332
1998	10	7	350	0.266
1999	10	7	2943	0.158
2000	10	7	2819	0.184
2001	10	7	1754	0.127
2002	10	7	4898	0.13
2003	10	7	1897	0.174
2004	10	7	1464	0.271
2005	10	7	1722	0.325
2006	10	7	2623	0.167
2007	10	7	3621	0.193
2008	10	7	4522	0.362
2009	10	7	4505	0.146
2010	10	7	4050	0.167
2011	10	7	2505	0.152
2012	10	7	14213	0.146
2013	10	7	9766	0.108
2014	10	7	9339	0.114
2015	10	7	10159	0.14
2016	10	7	17835	0.112
2017	10	7	22053	0.153
2018	10	7	9553	0.088
2019	10	7	15519	0.088
2020	10	7	17719	0.108
